algorithm,dataset,start_time,end_time,Patn,adj_Patn,ap,adj_ap,maxf1,adj_maxf1,auc
rshash,swan,1614758958.29,1614758964.79,0.629199,0.553807,0.779087,0.734171,0.642262,0.569526,0.905571
swknn,swan,1614759232.55,1614759257.97,0.631746,0.556871,0.746054,0.694421,0.643258,0.570724,0.914543
swrrct,swan,1614767976.19,1614768033.83,0.330549,0.194434,0.357322,0.226651,0.366155,0.237280,0.689030
loda,swan,1614770670.62,1614770757.09,0.618165,0.540529,0.769345,0.722448,0.626110,0.550090,0.906795
rshash,kddcup,1614776378.34,1614776391.87,0.150933,0.146954,0.132648,0.128583,0.182439,0.178607,0.949961
swknn,kddcup,1614776756.82,1614777063.31,0.152580,0.148608,0.074890,0.070554,0.166593,0.162687,0.719943
loda,kddcup,1614789730.34,1614790142.34,0.132272,0.128205,0.100684,0.096469,0.176301,0.172440,0.917880
swrrct,kddcup,1614794738.24,1614795813.07,0.058178,0.053764,0.071087,0.066733,0.083225,0.078929,0.847710
swlof,swan,1614818793.53,1614819403.78,0.272829,0.124978,0.295072,0.151744,0.302888,0.161150,0.583218
swlof,kddcup,1614847137.41,1614853565.97,0.000000,-0.004687,0.000000,-0.004687,0.090300,0.086036,0.667364
tpsdose,swan,1622635954.42,1622635975.07,0.627003,0.551592,0.772508,0.726514,0.636215,0.562666,0.911168
tpsdose,kddcup,1622655175.22,1622655802.66,0.542402,0.540334,0.337156,0.334161,0.544059,0.541999,0.972676
